morpheme,occurrence,type,example
ergic,67,neoclassical,inotocinergic
aceous,66,neoclassical,herbaceous
logy,63,neoclassical,planktology
ac,63,neoclassical,gigantomaniac
kin,61,,greenkin
oic,60,neoclassical,hopanoic
gram,58,neoclassical,enthalpogram
a,57,neoclassical,presbytera
i,56,,alumni
phile,53,neoclassical,Francophile
ce,53,,consonance
shire,52,,Dunbartonshire
graphy,52,neoclassical,iconography
ologist,52,neoclassical,Kubrickologist
athon,51,neoclassical,webathon
core,51,,nightcore
ose,50,,semicomatose
mania,50,neoclassical,Gorbymania
ure,49,,moisture
burger,49,,cheeseburger
aholic,48,neoclassical,playaholic
ious,47,,felonious
pathy,47,neoclassical,retinopathy
ene,46,neoclassical,xanthene
ably,46,,conceivably
tard,46,,emotard
ridden,46,,grockle-ridden
atory,43,,amplificatory
id,42,,David
form,42,,craterform
atic,41,,neumatic
fold,40,,eightfold
ent,39,,cent
tastic,39,,cringetastic
ass,39,,deadass
n't,37,,durstn't
fication,37,,emojification
phobic,37,neoclassical,Trumpophobic
omics,37,neoclassical,Corbynomics
ual,36,,artifactual
ane,36,,borane
rix,35,,inheritrix
ty,34,,thread-safety
gen,34,neoclassical,cancerogen
el,33,,panel
itude,33,,aptitude
verse,33,,Fringeverse
lysis,33,neoclassical,chymotrypsinolysis
metry,32,,radargrammetry
ade,32,,carbonade
icity,32,,asynchronicity
ocracy,32,neoclassical,lairdocracy
holic,31,neoclassical,triviaholic
ana,31,,Shaviana
bot,31,,Twitterbot
sies,30,,swearsies
scope,29,,meteoroscope
burg,29,,Walsenburg
centric,29,neoclassical,axonocentric
tomy,29,neoclassical,meatotomy
ey,28,,Turkey
ule,28,,tubule
phobe,28,neoclassical,Trumpophobe
ock,27,,clippock
etic,27,neoclassical,synergetic
bound,27,,collegebound
icide,26,neoclassical,parasiticide
mobile,26,,automobile
iot,25,,Mainiot
ista,25,,Peronista
person,25,,layperson
wad,24,,cumwad
ier,24,,bitchier
phone,24,,Francophone
plasty,24,,uraniscoplasty
otomy,24,,laminotomy
off,23,,cook-off
sploitation,23,,terrorsploitation
ard,22,,Leonard
tron,22,,waitron
ition,22,,supposition
cast,22,,newscast
amine,22,neoclassical,xenylamine
cidal,22,neoclassical,schizonticidal
plex,21,neoclassical,memeplex
ies,21,,delicacies
and,21,,doctorand
cracy,21,neoclassical,phallocracy
iasis,21,neoclassical,broncholithiasis
graph,21,neoclassical,viewgraph
stan,21,,Kyrgyzstan
iana,21,,Georgiana
eme,20,neoclassical,acreme
lytic,20,neoclassical,lignocellulolytic
tide,20,neoclassical,underntide
nik,20,neoclassical,kibbutznik
vore,20,neoclassical,foraminiferivore
licious,20,,Jewlicious
long,20,,life-long
ator,20,,respirator
sicle,20,,batsicle
ress,20,,inventress
self,19,,myself
aire,19,,questionnaire
tropic,19,,insulinotropic
mate,19,,stalemate
ancy,18,,acceptancy
ality,18,,sacramentality
's,18,,stationer's
otic,18,,neurotic
ino,18,,dilatino
ji,18,,khanji
water,18,,wastewater
fag,18,,Aussiefag
es,17,,astonishes
gasm,17,,sissygasm
aster,16,,medicaster
phyte,16,neoclassical,carrageenophyte
dar,16,,jagirdar
arium,16,neoclassical,honorarium
aemia,16,neoclassical,cryoglobulinaemia
genous,16,neoclassical,carbonigenous
onium,16,neoclassical,stibonium
ency,15,neoclassical,absorbency
meal,15,,stoundmeal
ated,15,,methylated
preneur,15,,ganjapreneur
nomics,15,,Obamanomics
eous,14,,sulfureous
manship,14,,footmanship
metric,14,,genometric
ola,14,,payola
ways,14,,longways
ific,14,,honourific
vorous,14,neoclassical,foraminiferivorous
meister,14,,webmeister
ician,13,,zootechnician
red,13,,furred
've,13,,I've
punk,13,,seapunk
um,13,,ovum
trix,13,,decoratrix
lock,13,,dreadlock
naut,13,,aquanaut
lite,13,,stibilite
philia,12,,Asiaphilia
zilla,12,,WIMPzilla
crat,12,,bureaucrat
front,12,,oceanfront
philic,12,neoclassical,acidophilic
oan,12,,vanadoan
d,11,,affeard
ile,11,,pulsatile
sphere,11,,jihadisphere
ole,11,,anisole
bie,11,,freebie
ized,11,,scandalized
splain,11,,Trumpsplain
borne,10,,spaceborne
cha,10,,aincha
escent,10,,decadescent
sie,10,,booksie
z,10,,luvz
istics,10,,Hungaristics
mas,9,,Mithrasmas
happy,9,,trigger-happy
een,9,,eighteen
nap,9,,kidnap
fast,9,,colorfast
sion,9,,perversion
cross,9,,buttercross
gerous,9,,chaetigerous
osity,9,,anonymosity
izer,9,,immobilizer
ad,9,,tibiad
ski,9,,waterski
wave,9,,brainwave
algia,9,,mammalgia
sexual,9,,homosexual
teen,8,,fourteen
rel,8,,dogrel
penia,8,neoclassical,erythroblastopenia
uous,8,,tumultuous
mer,8,,gapmer
archy,8,,holarchy
kins,8,,Bobbikins
colous,8,neoclassical,serpentinicolous
conazole,8,neoclassical,aliconazole
azepam,8,neoclassical,sulazepam
verine,8,neoclassical,heptaverine
omic,8,neoclassical,plasmidomic
by,7,,Kirkby
buterol,7,neoclassical,ibuterol
parous,7,neoclassical,synoviparous
caine,7,neoclassical,lotucaine
relin,7,,-tirelin
scopy,7,,meteoroscopy
bury,7,,Woodbury
itic,7,,Abrahamitic
adelic,6,,punkadelic
yer,6,,tawyer
more,6,,nethermore
onym,6,neoclassical,partonym
latry,6,,martyrolatry
acious,6,,flirtatious
maniac,6,neoclassical,Googlemaniac
cyte,6,neoclassical,ependymocyte
azocine,6,neoclassical,moxazocine
crete,6,neoclassical,tarcrete
mageddon,6,,beemageddon
vir,6,,-tegravir
nidazole,6,neoclassical,bamnidazole
ick,6,,etymologick
tude,6,,inquietude
zza,6,,cuzza
pocalypse,6,,Trumpocalypse
ily,6,,chokily
ometer,6,,hardometer
st,5,,Khomeinist
ren,5,,kidren
sky,5,,Americansky
istan,5,,ancapistan
eroo,5,,flopperoo
all,5,,know-all
adic,5,,p-adic
ers,5,,yummers
arch,5,,coloniarch
pants,5,,bossy pants
orium,5,neoclassical,auditorium
cillin,5,neoclassical,fibracillin
geddon,5,neoclassical,bananageddon
trophic,5,neoclassical,methylotrophic
itan,5,,necropolitan
ibility,5,,suspendibility
onomics,5,,Trumponomics
centrism,5,,Westcentrism
sauce,5,,applesauce
type,5,,climatype
0r,5,,r0x0r
worth,5,,halfpennyworth
static,5,,spirochetostatic
phagous,5,,helminthophagous
euse,5,,voyeuse
facient,4,,immunifacient
k,4,,firk
ety,4,,impiety
ric,4,,heavenric
tacular,4,,creeptacular
elle,4,,chevronelle
icism,4,,autodidacticism
oon,4,,webtoon
log,4,,Weblog
blast,4,,fireblast
amundo,4,,coolamundo
ina,4,,sonatina
poiesis,4,,neutrophilopoiesis
mancy,4,neoclassical,tulpamancy
orial,4,,inventorial
mo,4,,6mo
wick,4,,Chiswick
gon,4,,infinigon
mans,4,,togemans
tropism,4,,lysosomotropism
bamate,4,,pentabamate
men,4,,aldermen
prostil,4,neoclassical,deprostil
ella,4,,Cinderella
pramine,4,neoclassical,tienopramine
pride,4,,trazolopride
drome,4,,airdrome
alia,4,,Saturnalia
logist,4,neoclassical,alcohologist
lect,4,,familect
izzle,4,,off the hizzle
phagy,4,neoclassical,helminthophagy
furter,4,,krautfurter
ometry,4,neoclassical,isophotometry
ocrat,4,,Trumpocrat
fare,4,,workfare
itol,3,neoclassical,alditol
acy,3,,curacy
inda,3,,Laurinda
morph,3,neoclassical,olenimorph
ismus,3,neoclassical,oesophagismus
illion,3,neoclassical,googillion
escence,3,neoclassical,hyalescence
floxacin,3,neoclassical,pefloxacin
esce,3,neoclassical,fluoresce
morphic,3,neoclassical,thylacinamorphic
oyl,3,neoclassical,methacryloyl
eridine,3,neoclassical,morpheridine
fentanil,3,neoclassical,sufentanil
ciclovir,3,neoclassical,buciclovir
mab,3,,-zumab
sol,3,neoclassical,fibrisol
mere,3,neoclassical,Hertsmere
opamine,3,neoclassical,butopamine
ïng,3,,beïng
petal,3,neoclassical,axopetal
ast,3,neoclassical,orgiast
uret,3,neoclassical,chloruret
olone,3,neoclassical,colestolone
tirelin,3,neoclassical,montirelin
fosfamide,3,neoclassical,perfosfamide
arotene,3,neoclassical,adarotene
logical,3,,Buddhological
boro,3,,Wilkesboro
cc,3,,snacc
ern,3,,northern
sona,3,neoclassical,ponysona
pexy,3,neoclassical,sigmoidopexy
corn,3,neoclassical,ramicorn
stasis,3,neoclassical,iconstasis
il,3,neoclassical,-quinil
ior,3,,misbehavior
ever,2,,whitherever
selves,2,,themselves
centesis,2,,cordocentesis
stat,2,,simmerstat
polis,2,,Christianopolis
tic,2,neoclassical,sigmatic
x,2,,Miniconjoux
'd,2,,BBQ'd
wash,2,,whitewash
phage,2,neoclassical,bacteriophage
lings,2,,hidelings
lith,2,neoclassical,abyssolith
tous,2,neoclassical,œdematous
orphine,2,neoclassical,nalorphine
mycin,2,neoclassical,lankamycin
rubicin,2,neoclassical,valrubicin
trophy,2,neoclassical,guanotrophy
genin,2,neoclassical,saligenin
ified,2,neoclassical,sissified
hedron,2,neoclassical,amplituhedron
bactam,2,neoclassical,sulbactam
traline,2,neoclassical,indatraline
amide,2,neoclassical,procainamide
fu,2,,search-fu
peridol,2,neoclassical,trifluperidol
uric,2,neoclassical,mercapturic
tizolam,2,neoclassical,ciclotizolam
sal,2,neoclassical,triflusal
oxanide,2,neoclassical,diloxanide
phony,2,neoclassical,echophony
curonium,2,neoclassical,alcuronium
partite,2,neoclassical,fourpartite
teplase,2,neoclassical,alteplase
holism,2,neoclassical,talkaholism
metre,2,neoclassical,calorimetre
cule,2,neoclassical,cysticule
ex,2,,Artex
logue,2,neoclassical,isotopologue
gony,2,neoclassical,gametogony
piprazole,2,neoclassical,tolpiprazole
stomy,2,neoclassical,ileostomy
phore,2,neoclassical,stigmatophore
setron,2,neoclassical,dolasetron
rrhaphy,2,neoclassical,aortorrhaphy
drine,2,neoclassical,butidrine
cycline,2,neoclassical,demecycline
scopic,2,neoclassical,sigmoidoscopic
terol,2,neoclassical,sulfonterol
fos,2,neoclassical,benoxafos
gamy,2,neoclassical,sologamy
ostomy,2,neoclassical,sigmoidostomy
cratic,2,neoclassical,xerocratic
emic,2,neoclassical,macroprolactinemic
orama,2,neoclassical,spinorama
sis,2,neoclassical,oncogenesis
rama,2,,Obama-rama
borough,2,,Foxborough
biont,2,neoclassical,alkalibiont
graphic,2,neoclassical,neurographic
chrome,2,neoclassical,valenciachrome
tactic,2,neoclassical,shearotactic
taxis,2,neoclassical,shearotaxis
chory,2,neoclassical,ballochory
ception,2,neoclassical,bookception
flux,2,neoclassical,genderflux
erie,2,,gendarmerie
tant,2,,-dutant
our,2,,inheritour
ham,2,,Caterham
aroo,2,,jackaroo
lalia,1,,echolalia
ter,1,,slaughter
urgy,1,neoclassical,chemurgy
end,1,,subtrahend
astic,1,,pleonastic
setter,1,,trendsetter
landia,1,,Gringolandia
oholic,1,neoclassical,blogoholic
opia,1,neoclassical,asthenopia
poly,1,neoclassical,confusopoly
emics,1,neoclassical,proxemics
oside,1,neoclassical,ginsenoside
navir,1,,indinavir
nym,1,,pertainym
cock,1,neoclassical,meacock
grapher,1,neoclassical,calendographer
ethidine,1,neoclassical,furethidine
idine,1,neoclassical,pteridine
carp,1,neoclassical,basidiocarp
kini,1,,burkini
arabine,1,neoclassical,cytarabine
mustine,1,neoclassical,estramustine
onic,1,neoclassical,jasmonic
anth,1,neoclassical,hydranth
lyze,1,neoclassical,photolyze
bunny,1,,badge bunny
thon,1,neoclassical,radiothon
imibe,1,neoclassical,ezetimibe
vastatin,1,neoclassical,simvastatin
coxib,1,neoclassical,celecoxib
dilol,1,neoclassical,carvedilol
ode,1,neoclassical,zincode
assed,1,neoclassical,dumbassed
flurane,1,neoclassical,methoxyflurane
rinone,1,neoclassical,milrinone
cin,1,neoclassical,allicin
rolimus,1,neoclassical,zotarolimus
giline,1,neoclassical,selegiline
quine,1,neoclassical,primaquine
formin,1,neoclassical,buformin
tidine,1,neoclassical,famotidine
spirone,1,neoclassical,zalospirone
clidine,1,neoclassical,aceclidine
azosin,1,neoclassical,terazosin
radiation,1,neoclassical,eradiation
palladation,1,neoclassical,hydropalladation
boration,1,neoclassical,allylboration
kinesis,1,neoclassical,echokinesis
tronics,1,neoclassical,valleytronics
abad,1,,Allahabad
nesse,1,,propensenesse
pudlian,1,,Hartlepudlian
pristin,1,,quinupristin
pause,1,,plasmapause
itive,1,neoclassical,minsitive
eus,1,,deltoideus
over,1,,tideover
sterone,1,neoclassical,ethisterone
lagnia,1,neoclassical,anililagnia
tome,1,neoclassical,uvulatome
lins,1,,eathlins
uple,1,,infinituple
sporous,1,neoclassical,thecasporous
cardia,1,neoclassical,embryocardia
cele,1,neoclassical,bubonocele
anine,1,neoclassical,opianine
valent,1,neoclassical,zerovalent
mane,1,neoclassical,morphinomane
ties,1,,oneties
perone,1,neoclassical,spiperone
phonic,1,neoclassical,stentorophonic
enchyma,1,neoclassical,trachenchyma
optene,1,neoclassical,stearoptene
phrenia,1,neoclassical,quantophrenia
eum,1,,Mithraeum
glitazone,1,neoclassical,ciglitazone
frine,1,neoclassical,dimetofrine
nicline,1,neoclassical,dianicline
mestane,1,neoclassical,minamestane
lukast,1,neoclassical,montelukast
prenaline,1,neoclassical,orciprenaline
ritide,1,neoclassical,ularitide
fosine,1,neoclassical,perifosine
orphone,1,neoclassical,pentamorphone
reotide,1,neoclassical,pentetreotide
tepine,1,neoclassical,tropatepine
fiban,1,neoclassical,tirofiban
orex,1,neoclassical,acridorex
prazole,1,neoclassical,esaprazole
oxacin,1,neoclassical,miloxacin
adol,1,neoclassical,nantradol
kacin,1,neoclassical,propikacin
fungin,1,neoclassical,triafungin
citabine,1,neoclassical,galocitabine
platin,1,neoclassical,iproplatin
saur,1,neoclassical,pannoniasaur
saurus,1,neoclassical,snorasaurus
odynia,1,neoclassical,prostatodynia
gamous,1,neoclassical,bureaugamous
oidea,1,neoclassical,xanthelasmoidea
bacter,1,neoclassical,Iraqibacter
athlon,1,neoclassical,skiathlon
lutamide,1,neoclassical,enzalutamide
cline,1,neoclassical,nullcline
yne,1,neoclassical,furanyne
rific,1,neoclassical,crapperific
sian,1,,Sydnesian
ribine,1,neoclassical,triciribine
ceptive,1,neoclassical,dopaminoceptive
oxifene,1,neoclassical,droloxifene
tress,1,,priestress
phorous,1,neoclassical,symbiontophorous
ois,1,,Nigerois
fer,1,neoclassical,alkanofer
adenia,1,neoclassical,lymphadenia
ica,1,neoclassical,pianica
mont,1,,Craigmont
philiac,1,neoclassical,ephebophiliac
biontic,1,neoclassical,alkalibiontic
ula,1,neoclassical,ancestrula
pathic,1,neoclassical,embryopathic
poietic,1,neoclassical,leukocytopoietic
chezia,1,neoclassical,prionochezia
sialia,1,neoclassical,prionsialia
phytic,1,neoclassical,embryophytic
morphy,1,neoclassical,stasimorphy
ergia,1,neoclassical,glutamatergia
ifuge,1,neoclassical,dolorifuge
iad,1,,Henriad
penic,1,neoclassical,granulocytopenic
troph,1,neoclassical,opportunitroph
spermia,1,neoclassical,leukocytospermia
wich,1,,ribwich
goer,1,,ongoer
kine,1,neoclassical,embryokine
ato,1,neoclassical,allixinato
ense,1,neoclassical,praiense
ography,1,neoclassical,ductography
zoon,1,,Encephalitozoon
misia,1,neoclassical,fatmisia
ennium,1,neoclassical,millionennium
phagic,1,neoclassical,mammalophagic
alis,1,,plural
full,1,,useful
inlaw,1,,daughter-in-law
lyng,1,,nuzzle
ture,1,,fixture
ebo,1,,gazebo
cle,1,neoclassical,icicle
tarian,1,,utilitarian
somy,1,,monosomy
ien,1,,tsarian
roo,1,,switcheroo
v,1,,Peruvian
estre,1,,palmistry
vegas,1,,Brisvegas
